"seasonal","trend","remainder","date"
-2380.77956464368,18283.7861818791,1833.99338276453,2021-05-03
-2089.47329282349,18243.5426807511,2074.93061207234,2021-05-04
-655.860523328672,18203.2991796231,3525.56134370553,2021-05-05
646.954113934039,18163.0556784951,2922.99020757082,2021-05-06
6500.92426783209,18122.8121773671,3402.26355480078,2021-05-07
2420.34024541623,18082.5686762391,9083.09107834464,2021-05-08
-4442.10523641906,18042.3251751111,7930.78006130793,2021-05-09
-2380.77956464368,18002.0816739831,1289.69789066056,2021-05-10
-2089.47329282349,17961.8381728551,2223.63511996837,2021-05-11
-655.860523328672,17921.5946717271,3416.26585160156,2021-05-12
646.954113934039,17881.3511705991,1860.69471546685,2021-05-13
6500.92426783209,17841.1076694711,4059.9680626968,2021-05-14
2420.34024541623,17800.8641683431,9852.79558624067,2021-05-15
-4442.10523641906,17760.6206672151,7367.48456920396,2021-05-16
-2380.77956464368,17720.3771660871,2502.40239855659,2021-05-17
-2089.47329282349,17680.1336649591,3663.33962786439,2021-05-18
-655.860523328672,17639.8901638311,4190.97035949759,2021-05-19
646.954113934039,17599.6466627031,3404.39922336288,2021-05-20
6500.92426783209,17559.4031615751,3662.67257059283,2021-05-21
2420.34024541623,17516.6836089912,10976.9761455925,2021-05-22
-4442.10523641906,17473.9640564074,9844.14118001167,2021-05-23
-2380.77956464368,17431.2445038235,3018.53506082013,2021-05-24
-2089.47329282349,17388.5249512397,1620.94834158377,2021-05-25
-655.860523328672,17345.8053986559,204.055124672806,2021-05-26
646.954113934039,17303.085846072,-2996.03996000606,2021-05-27
6500.92426783209,17260.3662934882,-19641.2905613203,2021-05-28
2420.34024541623,17217.6467409043,-15881.9869863206,2021-05-29
-4442.10523641906,17174.9271883205,-8679.82195190143,2021-05-30
-2380.77956464368,17132.2076357367,-10160.428071093,2021-05-31
-2089.47329282349,17089.4880831528,-10448.0147903293,2021-06-01
-655.860523328672,17046.768530569,-11190.9080072403,2021-06-02
646.954113934039,17004.0489779851,-12465.0030919192,2021-06-03
6500.92426783209,16961.3294254013,-18324.2536932334,2021-06-04
2420.34024541623,16918.6098728174,-14475.9501182337,2021-06-05
-4442.10523641906,16875.8903202336,-8046.78508381454,2021-06-06
-2380.77956464368,16833.1707676498,-9519.39120300607,2021-06-07
